noc_title_2016,noc_title_2021,prov,noc_2016,noc_2016_title,skill_level,noc_2021,noc_2021_title,teer_category,noc_version,min_wage,median_wage,max_wage,mean_wage,source,reference_period,revision_date
"6313 - Accommodation, travel, tourism and related services supervisors","62022 - Accommodation, travel, tourism and related services supervisors",,6313,"Accommodation, travel, tourism and related services supervisors",B,62022,,2,"2016, 2021",16.0,22.6,35.99,24.37,Labour Force Survey,2020-2021,2022-11-16
6314 - Customer and information services supervisors,62023 - Customer and information services supervisors,,6314,Customer and information services supervisors,B,62023,,2,"2016, 2021",16.0,26.44,39.49,27.55,Labour Force Survey,2020-2021,2022-11-16
6315 - Cleaning supervisors,62024 - Cleaning supervisors,,6315,Cleaning supervisors,B,62024,,2,"2016, 2021",15.5,23.08,36.0,24.93,Labour Force Survey,2020-2021,2022-11-16
6316 - Other services supervisors,62029 - Other services supervisors,,6316,Other services supervisors,B,62029,,2,"2016, 2021",15.0,21.83,40.11,24.75,Labour Force Survey,2020-2021,2022-11-16
6322 - Cooks,63200 - Cooks,,6322,Cooks,B,63200,,3,"2016, 2021",13.0,15.6,21.18,16.53,Labour Force Survey,2020-2021,2022-11-16
"6331 - Butchers, meat cutters and fishmongers - retail and wholesale",,,6331,"Butchers, meat cutters and fishmongers - retail and wholesale",B,,,,2016,13.0,17.35,26.55,18.56,Labour Force Survey,2020-2021,2022-11-16
6332 - Bakers,63202 - Bakers,,6332,Bakers,B,63202,,3,"2016, 2021",13.1,15.1,23.0,16.98,Labour Force Survey,2020-2021,2022-11-16
6341 - Hairstylists and barbers,63210 - Hairstylists and barbers,,6341,Hairstylists and barbers,B,63210,,3,"2016, 2021",13.0,17.0,27.5,18.77,Labour Force Survey,2020-2021,2022-11-16
"6342 - Tailors, dressmakers, furriers and milliners","64200 - Tailors, dressmakers, furriers and milliners",,6342,"Tailors, dressmakers, furriers and milliners",B,64200,,4,"2016, 2021",15.0,17.85,25.0,18.73,Labour Force Survey,2020-2021,2022-11-16
6343 - Shoe repairers and shoemakers,63220 - Shoe repairers and shoemakers,,6343,Shoe repairers and shoemakers,B,63220,,3,"2016, 2021",13.5,16.19,24.86,17.74,Employment Insurance Survey Data,2020-2021,2022-11-16
"6344 - Jewellers, jewellery and watch repairers and related occupations","62202 - Jewellers, jewellery and watch repairers and related occupations",,6344,"Jewellers, jewellery and watch repairers and related occupations",B,62202,,2,"2016, 2021",14.28,18.4,27.5,20.33,Employment Insurance Survey Data,2020-2021,2022-11-16
6345 - Upholsterers,63221 - Upholsterers,,6345,Upholsterers,B,63221,,3,"2016, 2021",15.13,20.02,34.1,22.32,Employment Insurance Survey Data,2020-2021,2022-11-16
6346 - Funeral directors and embalmers,62201 - Funeral directors and embalmers,,6346,Funeral directors and embalmers,B,62201,,2,"2016, 2021",14.84,23.0,38.46,25.78,Labour Force Survey,2020-2021,2022-11-16
6411 - Sales and account representatives - wholesale trade (non-technical),64101 - Sales and account representatives - wholesale trade (non-technical),,6411,Sales and account representatives - wholesale trade (non-technical),C,64101,,4,"2016, 2021",16.83,26.44,42.86,28.11,Labour Force Survey,2020-2021,2022-11-16
6421 - Retail salespersons,64100 - Retail salespersons and visual merchandisers,,6421,Retail salespersons,C,64100,Retail salespersons and visual merchandisers,4,2016,13.0,15.2,25.0,17.47,Labour Force Survey,2020-2021,2022-11-16
6511 - Maîtres d'hôtel and hosts/hostesses,64300 - Maîtres d'hôtel and hosts/hostesses,,6511,Maîtres d'hôtel and hosts/hostesses,C,64300,,4,"2016, 2021",13.0,16.0,23.75,17.19,Labour Force Survey,2020-2021,2022-11-16
6512 - Bartenders,64301 - Bartenders,,6512,Bartenders,C,64301,,4,"2016, 2021",13.0,16.0,25.0,17.8,Labour Force Survey,2020-2021,2022-11-16
6513 - Food and beverage servers,65200 - Food and beverage servers,,6513,Food and beverage servers,C,65200,,5,"2016, 2021",13.0,15.2,24.43,17.1,Labour Force Survey,2020-2021,2022-11-16
6521 - Travel counsellors,64310 - Travel counsellors,,6521,Travel counsellors,C,64310,,4,"2016, 2021",14.42,20.19,30.22,21.4,Labour Force Survey,2020-2021,2022-11-16
6522 - Pursers and flight attendants,64311 - Pursers and flight attendants,,6522,Pursers and flight attendants,C,64311,,4,"2016, 2021",14.35,25.0,50.0,27.34,Labour Force Survey,2020-2021,2022-11-16
6523 - Airline ticket and service agents,64312 - Airline ticket and service agents,,6523,Airline ticket and service agents,C,64312,,4,"2016, 2021",14.28,17.5,28.8,19.96,Employment Insurance Survey Data,2020-2021,2022-11-16
"6524 - Ground and water transport ticket agents, cargo service representatives and related clerks","64313 - Ground and water transport ticket agents, cargo service representatives and related clerks",,6524,"Ground and water transport ticket agents, cargo service representatives and related clerks",C,64313,,4,"2016, 2021",14.0,18.5,29.86,20.58,Employment Insurance Survey Data,2020-2021,2022-11-16
6525 - Hotel front desk clerks,64314 - Hotel front desk clerks,,6525,Hotel front desk clerks,C,64314,,4,"2016, 2021",14.0,16.35,24.62,17.95,Labour Force Survey,2020-2021,2022-11-16
6531 - Tour and travel guides,64320 - Tour and travel guides,,6531,Tour and travel guides,C,64320,,4,"2016, 2021",13.5,16.17,24.0,17.72,Employment Insurance Survey Data,2020-2021,2022-11-16
6532 - Outdoor sport and recreational guides,64322 - Outdoor sport and recreational guides,,6532,Outdoor sport and recreational guides,C,64322,,4,"2016, 2021",14.0,17.5,27.0,19.44,Employment Insurance Survey Data,2020-2021,2022-11-16
6533 - Casino occupations,64321 - Casino workers,,6533,Casino occupations,C,64321,Casino workers,4,2016,15.0,20.0,32.0,21.59,Labour Force Survey,2020-2021,2022-11-16
6541 - Security guards and related security service occupations,64410 - Security guards and related security service occupations,,6541,Security guards and related security service occupations,C,64410,,4,"2016, 2021",14.5,18.3,26.92,19.79,Labour Force Survey,2020-2021,2022-11-16
6551 - Customer services representatives - financial institutions,64400 - Customer services representatives - financial institutions,,6551,Customer services representatives - financial institutions,C,64400,,4,"2016, 2021",16.0,20.0,26.99,20.84,Labour Force Survey,2020-2021,2022-11-16
6552 - Other customer and information services representatives,64409 - Other customer and information services representatives,,6552,Other customer and information services representatives,C,64409,,4,"2016, 2021",14.0,19.23,30.5,21.07,Labour Force Survey,2020-2021,2022-11-16
"6561 - Image, social and other personal consultants","64201 - Image, social and other personal consultants",,6561,"Image, social and other personal consultants",C,64201,,4,"2016, 2021",14.0,18.0,23.08,18.29,Labour Force Survey,2020-2021,2022-11-16
"6562 - Estheticians, electrologists and related occupations","63211 - Estheticians, electrologists and related occupations",,6562,"Estheticians, electrologists and related occupations",C,63211,,3,"2016, 2021",13.0,17.0,26.51,18.51,Labour Force Survey,2020-2021,2022-11-16
6563 - Pet groomers and animal care workers,65220 - Pet groomers and animal care workers,,6563,Pet groomers and animal care workers,C,65220,,5,"2016, 2021",13.0,16.0,28.0,18.0,Labour Force Survey,2020-2021,2022-11-16
6564 - Other personal service occupations,,,6564,Other personal service occupations,C,,,,2016,14.0,18.0,35.65,22.3,Employment Insurance Survey Data,2020-2021,2022-11-16
6611 - Cashiers,65100 - Cashiers,,6611,Cashiers,D,65100,,5,"2016, 2021",13.0,14.25,17.0,14.78,Labour Force Survey,2020-2021,2022-11-16
6621 - Service station attendants,65101 - Service station attendants,,6621,Service station attendants,D,65101,,5,"2016, 2021",13.0,14.0,19.0,14.72,Labour Force Survey,2020-2021,2022-11-16
"6622 - Store shelf stockers, clerks and order fillers","65102 - Store shelf stockers, clerks and order fillers",,6622,"Store shelf stockers, clerks and order fillers",D,65102,,5,"2016, 2021",13.0,15.0,20.0,15.76,Labour Force Survey,2020-2021,2022-11-16
6623 - Other sales related occupations,65109 - Other sales related occupations,,6623,Other sales related occupations,D,65109,,5,"2016, 2021",13.85,15.5,27.4,17.88,Labour Force Survey,2020-2021,2022-11-16
"6711 - Food counter attendants, kitchen helpers and related support occupations","65201 - Food counter attendants, kitchen helpers and related support occupations",,6711,"Food counter attendants, kitchen helpers and related support occupations",D,65201,,5,"2016, 2021",13.0,14.6,19.69,15.35,Labour Force Survey,2020-2021,2022-11-16
"6721 - Support occupations in accommodation, travel and facilities set-up services","65210 - Support occupations in accommodation, travel and facilities set-up services",,6721,"Support occupations in accommodation, travel and facilities set-up services",D,65210,,5,"2016, 2021",14.0,17.0,27.05,18.78,Employment Insurance Survey Data,2020-2021,2022-11-16
"6722 - Operators and attendants in amusement, recreation and sport","65211 - Operators and attendants in amusement, recreation and sport",,6722,"Operators and attendants in amusement, recreation and sport",D,65211,,5,"2016, 2021",13.1,15.0,26.5,17.47,Labour Force Survey,2020-2021,2022-11-16
6731 - Light duty cleaners,65310 - Light duty cleaners,,6731,Light duty cleaners,D,65310,,5,"2016, 2021",14.0,18.0,23.0,18.03,Labour Force Survey,2020-2021,2022-11-16
6732 - Specialized cleaners,65311 - Specialized cleaners,,6732,Specialized cleaners,D,65311,,5,"2016, 2021",13.85,17.31,27.0,18.88,Labour Force Survey,2020-2021,2022-11-16
"6733 - Janitors, caretakers and building superintendents","65312 - Janitors, caretakers and heavy-duty cleaners",,6733,"Janitors, caretakers and building superintendents",D,65312,"Janitors, caretakers and heavy-duty cleaners",5,2016,14.35,20.0,29.6,21.0,Labour Force Survey,2020-2021,2022-11-16
"6741 - Dry cleaning, laundry and related occupations","65320 - Dry cleaning, laundry and related occupations",,6741,"Dry cleaning, laundry and related occupations",D,65320,,5,"2016, 2021",14.0,16.53,22.29,17.73,Labour Force Survey,2020-2021,2022-11-16
"6742 - Other service support occupations, n.e.c.",65229 - Other support occupations in personal services,,6742,"Other service support occupations, n.e.c.",D,65229,Other support occupations in personal services,5,2016,13.1,15.0,20.0,16.05,Labour Force Survey,2020-2021,2022-11-16
"7201 - Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations","72010 - Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",,7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",B,72010,,2,"2016, 2021",25.0,36.0,49.0,36.74,Labour Force Survey,2020-2021,2022-11-16
"7202 - Contractors and supervisors, electrical trades and telecommunications occupations","72011 - Contractors and supervisors, electrical trades and telecommunications occupations",,7202,"Contractors and supervisors, electrical trades and telecommunications occupations",B,72011,,2,"2016, 2021",22.5,40.03,53.0,39.3,Employment Insurance Survey Data,2020-2021,2022-11-16
"7203 - Contractors and supervisors, pipefitting trades","72012 - Contractors and supervisors, pipefitting trades",,7203,"Contractors and supervisors, pipefitting trades",B,72012,,2,"2016, 2021",25.7,43.08,54.28,42.36,Employment Insurance Survey Data,2020-2021,2022-11-16
"7204 - Contractors and supervisors, carpentry trades","72013 - Contractors and supervisors, carpentry trades",,7204,"Contractors and supervisors, carpentry trades",B,72013,,2,"2016, 2021",23.0,35.0,45.67,35.02,Labour Force Survey,2020-2021,2022-11-16
"7205 - Contractors and supervisors, other construction trades, installers, repairers and servicers","72014 - Contractors and supervisors, other construction trades, installers, repairers and servicers",,7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers",B,72014,,2,"2016, 2021",22.0,35.0,46.15,34.49,Labour Force Survey,2020-2021,2022-11-16
7231 - Machinists and machining and tooling inspectors,72100 - Machinists and machining and tooling inspectors,,7231,Machinists and machining and tooling inspectors,B,72100,,2,"2016, 2021",19.0,27.35,38.0,28.12,Labour Force Survey,2020-2021,2022-11-16
7232 - Tool and die makers,72101 - Tool and die makers,,7232,Tool and die makers,B,72101,,2,"2016, 2021",18.45,28.0,40.0,28.6,Labour Force Survey,2020-2021,2022-11-16
7233 - Sheet metal workers,72102 - Sheet metal workers,,7233,Sheet metal workers,B,72102,,2,"2016, 2021",20.0,32.0,42.15,32.0,Employment Insurance Survey Data,2020-2021,2022-11-16
7234 - Boilermakers,72103 - Boilermakers,,7234,Boilermakers,B,72103,,2,"2016, 2021",30.46,44.14,49.06,42.24,Employment Insurance Survey Data,2020-2021,2022-11-16
7235 - Structural metal and platework fabricators and fitters,72104 - Structural metal and platework fabricators and fitters,,7235,Structural metal and platework fabricators and fitters,B,72104,,2,"2016, 2021",18.0,26.3,39.0,27.54,Employment Insurance Survey Data,2020-2021,2022-11-16
7236 - Ironworkers,72105 - Ironworkers,,7236,Ironworkers,B,72105,,2,"2016, 2021",25.0,39.26,44.9,37.13,Employment Insurance Survey Data,2020-2021,2022-11-16
7237 - Welders and related machine operators,72106 - Welders and related machine operators,,7237,Welders and related machine operators,B,72106,,2,"2016, 2021",19.0,26.0,42.0,28.75,Labour Force Survey,2020-2021,2022-11-16
7241 - Electricians (except industrial and power system),72200 - Electricians (except industrial and power system),,7241,Electricians (except industrial and power system),B,72200,,2,"2016, 2021",18.0,30.1,46.0,31.69,Labour Force Survey,2020-2021,2022-11-16
7242 - Industrial electricians,72201 - Industrial electricians,,7242,Industrial electricians,B,72201,,2,"2016, 2021",25.64,37.0,50.0,37.59,Labour Force Survey,2020-2021,2022-11-16
7243 - Power system electricians,72202 - Power system electricians,,7243,Power system electricians,B,72202,,2,"2016, 2021",31.0,43.83,57.1,44.6,Labour Force Survey,2020-2021,2022-11-16
7244 - Electrical power line and cable workers,72203 - Electrical power line and cable workers,,7244,Electrical power line and cable workers,B,72203,,2,"2016, 2021",25.0,42.0,52.2,41.15,Labour Force Survey,2020-2021,2022-11-16
7246 - Telecommunications installation and repair workers,72204 - Telecommunications line and cable installers and repairers,,7246,Telecommunications installation and repair workers,B,72204,Telecommunications line and cable installers and repairers,2,2016,20.77,31.0,41.57,31.06,Labour Force Survey,2020-2021,2022-11-16
7247 - Cable television service and maintenance technicians,,,7247,Cable television service and maintenance technicians,B,,,,2016,18.0,31.0,38.46,30.79,Labour Force Survey,2020-2021,2022-11-16
7251 - Plumbers,72300 - Plumbers,,7251,Plumbers,B,72300,,2,"2016, 2021",18.0,31.0,42.64,30.99,Labour Force Survey,2020-2021,2022-11-16
"7252 - Steamfitters, pipefitters and sprinkler system installers","72301 - Steamfitters, pipefitters and sprinkler system installers",,7252,"Steamfitters, pipefitters and sprinkler system installers",B,72301,,2,"2016, 2021",24.26,40.46,47.07,38.35,Employment Insurance Survey Data,2020-2021,2022-11-16
7253 - Gas fitters,72302 - Gas fitters,,7253,Gas fitters,B,72302,,2,"2016, 2021",19.0,34.0,47.0,32.5,Labour Force Survey,2020-2021,2022-11-16
7271 - Carpenters,72310 - Carpenters,,7271,Carpenters,B,72310,,2,"2016, 2021",19.0,30.0,40.51,29.53,Labour Force Survey,2020-2021,2022-11-16
7272 - Cabinetmakers,72311 - Cabinetmakers,,7272,Cabinetmakers,B,72311,,2,"2016, 2021",16.5,21.5,30.0,22.69,Employment Insurance Survey Data,2020-2021,2022-11-16
7281 - Bricklayers,72320 - Bricklayers,,7281,Bricklayers,B,72320,,2,"2016, 2021",23.02,36.07,43.0,34.56,Employment Insurance Survey Data,2020-2021,2022-11-16
7282 - Concrete finishers,73100 - Concrete finishers,,7282,Concrete finishers,B,73100,,3,"2016, 2021",21.0,31.0,39.6,30.93,Employment Insurance Survey Data,2020-2021,2022-11-16
7283 - Tilesetters,73101 - Tilesetters,,7283,Tilesetters,B,73101,,3,"2016, 2021",20.27,30.86,40.87,31.02,Employment Insurance Survey Data,2020-2021,2022-11-16
"7284 - Plasterers, drywall installers and finishers and lathers","73102 - Plasterers, drywall installers and finishers and lathers",,7284,"Plasterers, drywall installers and finishers and lathers",B,73102,,3,"2016, 2021",20.0,30.5,40.78,30.92,Employment Insurance Survey Data,2020-2021,2022-11-16
7291 - Roofers and shinglers,73110 - Roofers and shinglers,,7291,Roofers and shinglers,B,73110,,3,"2016, 2021",19.09,28.0,41.0,28.75,Employment Insurance Survey Data,2020-2021,2022-11-16
7292 - Glaziers,73111 - Glaziers,,7292,Glaziers,B,73111,,3,"2016, 2021",19.0,28.33,40.54,29.36,Employment Insurance Survey Data,2020-2021,2022-11-16
7293 - Insulators,72321 - Insulators,,7293,Insulators,B,72321,,2,"2016, 2021",20.54,35.52,42.93,33.77,Employment Insurance Survey Data,2020-2021,2022-11-16
7294 - Painters and decorators (except interior decorators),73112 - Painters and decorators (except interior decorators),,7294,Painters and decorators (except interior decorators),B,73112,,3,"2016, 2021",17.0,24.5,38.0,25.81,Employment Insurance Survey Data,2020-2021,2022-11-16
7295 - Floor covering installers,73113 - Floor covering installers,,7295,Floor covering installers,B,73113,,3,"2016, 2021",18.0,22.0,38.46,25.27,Labour Force Survey,2020-2021,2022-11-16
"7301 - Contractors and supervisors, mechanic trades","72020 - Contractors and supervisors, mechanic trades",,7301,"Contractors and supervisors, mechanic trades",B,72020,,2,"2016, 2021",21.15,36.5,57.69,37.69,Labour Force Survey,2020-2021,2022-11-16
"7302 - Contractors and supervisors, heavy equipment operator crews","72021 - Contractors and supervisors, heavy equipment operator crews",,7302,"Contractors and supervisors, heavy equipment operator crews",B,72021,,2,"2016, 2021",23.5,35.0,49.1,35.72,Labour Force Survey,2020-2021,2022-11-16
"7303 - Supervisors, printing and related occupations","72022 - Supervisors, printing and related occupations",,7303,"Supervisors, printing and related occupations",B,72022,,2,"2016, 2021",18.0,31.25,50.48,32.16,Labour Force Survey,2020-2021,2022-11-16
"7304 - Supervisors, railway transport operations","72023 - Supervisors, railway transport operations",,7304,"Supervisors, railway transport operations",B,72023,,2,"2016, 2021",23.5,40.0,49.0,38.49,Labour Force Survey,2020-2021,2022-11-16
"7305 - Supervisors, motor transport and other ground transit operators","72024 - Supervisors, motor transport and other ground transit operators",,7305,"Supervisors, motor transport and other ground transit operators",B,72024,,2,"2016, 2021",20.0,30.0,45.81,32.13,Labour Force Survey,2020-2021,2022-11-16
7311 - Construction millwrights and industrial mechanics,72400 - Construction millwrights and industrial mechanics,,7311,Construction millwrights and industrial mechanics,B,72400,,2,"2016, 2021",20.0,32.0,45.5,33.04,Labour Force Survey,2020-2021,2022-11-16
7312 - Heavy-duty equipment mechanics,72401 - Heavy-duty equipment mechanics,,7312,Heavy-duty equipment mechanics,B,72401,,2,"2016, 2021",21.0,34.45,48.0,34.67,Labour Force Survey,2020-2021,2022-11-16
7313 - Refrigeration and air conditioning mechanics,72402 - Refrigeration and air conditioning mechanics,,7313,Refrigeration and air conditioning mechanics,B,72402,,2,"2016, 2021",18.0,30.66,46.05,31.46,Labour Force Survey,2020-2021,2022-11-16
7314 - Railway carmen/women,72403 - Railway carmen/women,,7314,Railway carmen/women,B,72403,,2,"2016, 2021",25.0,37.1,41.0,35.05,Labour Force Survey,2020-2021,2022-11-16
7315 - Aircraft mechanics and aircraft inspectors,72404 - Aircraft mechanics and aircraft inspectors,,7315,Aircraft mechanics and aircraft inspectors,B,72404,,2,"2016, 2021",19.0,37.0,47.18,35.02,Labour Force Survey,2020-2021,2022-11-16
7316 - Machine fitters,72405 - Machine fitters,,7316,Machine fitters,B,72405,,2,"2016, 2021",16.59,29.44,46.2,30.9,2016 Census,2016,2022-11-16
7318 - Elevator constructors and mechanics,72406 - Elevator constructors and mechanics,,7318,Elevator constructors and mechanics,B,72406,,2,"2016, 2021",26.0,45.6,60.0,44.3,Labour Force Survey,2020-2021,2022-11-16
"7321 - Automotive service technicians, truck and bus mechanics and mechanical repairers","72410 - Automotive service technicians, truck and bus mechanics and mechanical repairers",,7321,"Automotive service technicians, truck and bus mechanics and mechanical repairers",B,72410,,2,"2016, 2021",17.0,27.5,40.0,28.45,Labour Force Survey,2020-2021,2022-11-16
7322 - Motor vehicle body repairers,,,7322,Motor vehicle body repairers,B,,,,2016,15.75,24.0,36.0,25.05,Labour Force Survey,2020-2021,2022-11-16
7331 - Oil and solid fuel heating mechanics,72420 - Oil and solid fuel heating mechanics,,7331,Oil and solid fuel heating mechanics,B,72420,,2,"2016, 2021",17.5,25.0,38.5,26.51,Employment Insurance Survey Data,2020-2021,2022-11-16
7333 - Electrical mechanics,72422 - Electrical mechanics,,7333,Electrical mechanics,B,72422,,2,"2016, 2021",21.0,28.3,37.5,29.4,Labour Force Survey,2020-2021,2022-11-16
"7334 - Motorcycle, all-terrain vehicle and other related mechanics","72423 - Motorcycle, all-terrain vehicle and other related mechanics",,7334,"Motorcycle, all-terrain vehicle and other related mechanics",B,72423,,2,"2016, 2021",18.0,27.0,38.0,28.05,Labour Force Survey,2020-2021,2022-11-16
7335 - Other small engine and small equipment repairers,72429 - Other small engine and small equipment repairers,,7335,Other small engine and small equipment repairers,B,72429,,2,"2016, 2021",16.0,23.0,28.85,21.97,Labour Force Survey,2020-2021,2022-11-16
7361 - Railway and yard locomotive engineers,73310 - Railway and yard locomotive engineers,,7361,Railway and yard locomotive engineers,B,73310,,3,"2016, 2021",23.08,40.16,57.14,40.41,Labour Force Survey,2020-2021,2022-11-16
7362 - Railway conductors and brakemen/women,73311 - Railway conductors and brakemen/women,,7362,Railway conductors and brakemen/women,B,73311,,3,"2016, 2021",23.65,38.0,52.88,37.98,Labour Force Survey,2020-2021,2022-11-16
7371 - Crane operators,72500 - Crane operators,,7371,Crane operators,B,72500,,2,"2016, 2021",22.31,34.0,46.5,34.42,Labour Force Survey,2020-2021,2022-11-16
"7372 - Drillers and blasters - surface mining, quarrying and construction","73402 - Drillers and blasters - surface mining, quarrying and construction",,7372,"Drillers and blasters - surface mining, quarrying and construction",B,73402,,3,"2016, 2021",23.25,32.77,42.54,33.25,Employment Insurance Survey Data,2020-2021,2022-11-16
7373 - Water well drillers,72501 - Water well drillers,,7373,Water well drillers,B,72501,,2,"2016, 2021",20.0,27.38,38.28,28.07,Employment Insurance Survey Data,2020-2021,2022-11-16
7381 - Printing press operators,73401 - Printing press operators,,7381,Printing press operators,B,73401,,3,"2016, 2021",15.8,23.14,33.25,24.36,Labour Force Survey,2020-2021,2022-11-16
"7384 - Other trades and related occupations, n.e.c.",,,7384,"Other trades and related occupations, n.e.c.",B,,,,2016,19.0,25.63,44.31,28.91,Labour Force Survey,2020-2021,2022-11-16
7441 - Residential and commercial installers and servicers,73200 - Residential and commercial installers and servicers,,7441,Residential and commercial installers and servicers,C,73200,,3,"2016, 2021",17.0,24.0,35.5,24.55,Labour Force Survey,2020-2021,2022-11-16
7442 - Waterworks and gas maintenance workers,,,7442,Waterworks and gas maintenance workers,C,,,,2016,18.0,33.4,45.0,31.71,Labour Force Survey,2020-2021,2022-11-16
7444 - Pest controllers and fumigators,73202 - Pest controllers and fumigators,,7444,Pest controllers and fumigators,C,73202,,3,"2016, 2021",17.0,21.91,31.25,23.46,Labour Force Survey,2020-2021,2022-11-16
7445 - Other repairers and servicers,73209 - Other repairers and servicers,,7445,Other repairers and servicers,C,73209,,3,"2016, 2021",15.0,20.5,32.31,22.32,Labour Force Survey,2020-2021,2022-11-16
7451 - Longshore workers,75100 - Longshore workers,,7451,Longshore workers,C,75100,,5,"2016, 2021",22.59,36.81,52.0,37.01,Labour Force Survey,2020-2021,2022-11-16
7452 - Material handlers,75101 - Material handlers,,7452,Material handlers,C,75101,,5,"2016, 2021",14.5,19.0,29.0,20.56,Labour Force Survey,2020-2021,2022-11-16
7511 - Transport truck drivers,73300 - Transport truck drivers,,7511,Transport truck drivers,C,73300,,3,"2016, 2021",16.5,24.0,33.72,24.8,Labour Force Survey,2020-2021,2022-11-16
"7512 - Bus drivers, subway operators and other transit operators","73301 - Bus drivers, subway operators and other transit operators",,7512,"Bus drivers, subway operators and other transit operators",C,73301,,3,"2016, 2021",16.0,23.5,36.0,24.95,Labour Force Survey,2020-2021,2022-11-16
7513 - Taxi and limousine drivers and chauffeurs,75200 - Taxi and limousine drivers and chauffeurs,,7513,Taxi and limousine drivers and chauffeurs,C,75200,,5,"2016, 2021",13.0,15.91,30.0,17.88,Labour Force Survey,2020-2021,2022-11-16
7514 - Delivery and courier service drivers,75201 - Delivery service drivers and door-to-door distributors,,7514,Delivery and courier service drivers,C,75201,Delivery service drivers and door-to-door distributors,5,2016,13.0,17.31,30.0,19.24,Labour Force Survey,2020-2021,2022-11-16
7531 - Railway yard and track maintenance workers,74200 - Railway yard and track maintenance workers,,7531,Railway yard and track maintenance workers,C,74200,,4,"2016, 2021",26.0,31.0,39.0,31.84,Labour Force Survey,2020-2021,2022-11-16
7532 - Water transport deck and engine room crew,74201 - Water transport deck and engine room crew,,7532,Water transport deck and engine room crew,C,74201,,4,"2016, 2021",19.3,27.47,40.0,29.31,Labour Force Survey,2020-2021,2022-11-16
7533 - Boat and cable ferry operators and related occupations,75210 - Boat and cable ferry operators and related occupations,,7533,Boat and cable ferry operators and related occupations,C,75210,,5,"2016, 2021",16.05,24.0,33.0,24.67,Employment Insurance Survey Data,2020-2021,2022-11-16
7534 - Air transport ramp attendants,74202 - Air transport ramp attendants,,7534,Air transport ramp attendants,C,74202,,4,"2016, 2021",15.0,19.0,31.25,21.92,Labour Force Survey,2020-2021,2022-11-16
7535 - Other automotive mechanical installers and servicers,32129 - Other medical technologists and technicians,,7535,Other automotive mechanical installers and servicers,C,32129,Other medical technologists and technicians,2,2016,14.0,18.0,28.0,19.77,Labour Force Survey,2020-2021,2022-11-16
7611 - Construction trades helpers and labourers,75110 - Construction trades helpers and labourers,,7611,Construction trades helpers and labourers,D,75110,,5,"2016, 2021",15.0,21.0,35.0,23.73,Labour Force Survey,2020-2021,2022-11-16
7612 - Other trades helpers and labourers,75119 - Other trades helpers and labourers,,7612,Other trades helpers and labourers,D,75119,,5,"2016, 2021",15.0,20.0,33.58,22.32,Employment Insurance Survey Data,2020-2021,2022-11-16
7621 - Public works and maintenance labourers,75212 - Public works and maintenance labourers,,7621,Public works and maintenance labourers,D,75212,,5,"2016, 2021",17.0,26.0,33.0,26.0,Labour Force Survey,2020-2021,2022-11-16
7622 - Railway and motor transport labourers,75211 - Railway and motor transport labourers,,7622,Railway and motor transport labourers,D,75211,,5,"2016, 2021",14.25,18.0,28.6,20.07,Employment Insurance Survey Data,2020-2021,2022-11-16
"8211 - Supervisors, logging and forestry","82010 - Supervisors, logging and forestry",,8211,"Supervisors, logging and forestry",B,82010,,2,"2016, 2021",21.63,30.0,45.0,32.7,Labour Force Survey,2020-2021,2022-11-16
"8221 - Supervisors, mining and quarrying","82020 - Supervisors, mining and quarrying",,8221,"Supervisors, mining and quarrying",B,82020,,2,"2016, 2021",25.12,45.0,60.0,43.08,Labour Force Survey,2020-2021,2022-11-16
"8222 - Contractors and supervisors, oil and gas drilling and services","82021 - Contractors and supervisors, oil and gas drilling and services",,8222,"Contractors and supervisors, oil and gas drilling and services",B,82021,,2,"2016, 2021",24.81,44.0,65.0,44.36,Labour Force Survey,2020-2021,2022-11-16
8231 - Underground production and development miners,83100 - Underground production and development miners,,8231,Underground production and development miners,B,83100,,3,"2016, 2021",23.28,37.0,49.1,36.8,Labour Force Survey,2020-2021,2022-11-16
"8232 - Oil and gas well drillers, servicers, testers and related workers","83101 - Oil and gas well drillers, servicers, testers and related workers",,8232,"Oil and gas well drillers, servicers, testers and related workers",B,83101,,3,"2016, 2021",23.0,40.0,64.0,41.49,Labour Force Survey,2020-2021,2022-11-16
8241 - Logging machinery operators,83110 - Logging machinery operators,,8241,Logging machinery operators,B,83110,,3,"2016, 2021",19.62,27.69,36.1,27.94,Labour Force Survey,2020-2021,2022-11-16
"8252 - Agricultural service contractors, farm supervisors and specialized livestock workers",,,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",B,,,,2016,13.0,23.0,34.62,23.2,Labour Force Survey,2020-2021,2022-11-16
"8255 - Contractors and supervisors, landscaping, grounds maintenance and horticulture services","82031 - Contractors and supervisors, landscaping, grounds maintenance and horticulture services",,8255,"Contractors and supervisors, landscaping, grounds maintenance and horticulture services",B,82031,,2,"2016, 2021",19.23,27.0,35.5,27.32,Labour Force Survey,2020-2021,2022-11-16
8261 - Fishing masters and officers,83120 - Fishing masters and officers,,8261,Fishing masters and officers,B,83120,,3,"2016, 2021",17.0,30.0,80.0,39.68,Employment Insurance Survey Data,2020-2021,2022-11-16
